[2026-08-01 01:14:18,053: INFO: main: Starting the CNN Classifier application...]
[2026-08-01 01:15:44,515: INFO: main: Starting the CNN Classifier application...]
[2026-08-01 01:15:51,359: INFO: main: Starting the CNN Classifier application...]
[2026-08-01 01:15:51,359: WARNING: main: This is a warning message.]
[2026-08-01 01:15:51,359: ERROR: main: This is an error message.]
[2026-08-02 12:31:01,021: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-02 12:31:01,027: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-02 12:31:01,033: INFO: common: created directory at: artifacts]
[2026-08-02 12:31:01,037: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-02 12:34:31,227: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-02 12:34:31,230: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-02 12:34:31,231: INFO: common: created directory at: artifacts]
[2026-08-02 12:34:31,232: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-02 12:34:46,545: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-02 12:34:46,548: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-02 12:34:46,551: INFO: common: created directory at: artifacts]
[2026-08-02 12:34:46,555: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-02 12:34:46,557: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-02 12:35:04,161: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-02 12:37:39,467: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-02 12:37:39,471: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-02 12:37:39,473: INFO: common: created directory at: artifacts]
[2026-08-02 12:37:39,475: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-02 12:37:39,479: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1pePrB3av92lFIDVbqSFGherC7U4JbmP4/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-02 12:45:22,579: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1pePrB3av92lFIDVbqSFGherC7U4JbmP4/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-02 13:00:22,615: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-08-02 13:00:22,616: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-02 13:00:22,616: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-02 13:00:22,617: INFO: common: created directory at: artifacts]
[2026-08-02 13:00:22,617: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-02 13:00:22,618: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1pePrB3av92lFIDVbqSFGherC7U4JbmP4/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-02 13:08:22,520: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1pePrB3av92lFIDVbqSFGherC7U4JbmP4/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-02 13:09:00,864: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
